Dte.,Codi_Barri,Barris,"Poblacio 16-64 anys",Gener,Febrer,Marc,Abril,Maig,Juny,Juliol,Agost,Setembre,Octubre,Novembre,Desembre
1,1,el Raval,34.989,"12,5","12,4","12,4","12,1","11,7","11,4","11,2","11,0","10,9","11,0","11,3","11,1"
1,2,el Barri Gòtic,11.868,"10,1","9,8","9,7","9,5","9,0","8,9","8,9","8,7","8,5","8,6","8,9","8,8"
1,3,la Barceloneta,10.664,"12,0","12,0","12,0","11,6","11,2","10,9","10,8","10,8","10,7","11,0","11,2","11,3"
1,4,"Sant Pere, Santa Caterina i la Ribera",16.736,"10,6","10,6","10,6","10,2","9,9","9,6","9,5","9,5","9,4","9,7","9,9","10,0"
2,5,el Fort Pienc,20.875,"8,2","8,2","8,3","8,0","7,7","7,4","7,4","7,5","7,4","7,3","7,2","7,0"
2,6,la Sagrada Família,33.914,"8,3","8,2","8,2","7,9","7,6","7,4","7,5","7,7","7,5","7,5","7,3","7,3"
2,7,la Dreta de l'Eixample,28.6,"6,3","6,3","6,3","6,1","5,9","5,8","5,9","6,0","5,9","5,9","5,9","5,8"
2,8,l'Antiga Esquerra de l'Eixample,27.609,"7,5","7,3","7,2","6,9","6,7","6,5","6,6","6,7","6,6","6,6","6,6","6,6"
2,9,la Nova Esquerra de l'Eixample,38.012,"8,0","7,9","7,8","7,5","7,3","7,0","7,1","7,1","7,0","7,1","7,2","7,0"
2,10,Sant Antoni,25.144,"8,7","8,6","8,5","8,2","7,9","7,7","7,7","7,7","7,6","7,7","7,8","7,6"
3,11,el Poble Sec,28.124,"11,5","11,4","11,2","10,9","10,6","10,3","10,1","10,1","9,8","9,8","10,1","9,9"
3,12,La Marina del Prat Vermell,755,"19,4","20,1","20,5","21,2","20,7","19,1","18,7","18,0","18,8","18,9","18,5","19,5"
3,13,la Marina de Port,19.713,"12,0","11,9","11,9","11,6","11,5","10,9","10,8","10,8","10,5","10,7","10,6","10,5"
3,14,la Font de la Guatlla,6.915,"11,8","11,7","11,5","11,2","10,8","10,5","10,3","10,3","10,1","10,1","10,3","10,1"
3,15,Hostafrancs,10.957,"9,0","8,9","8,9","8,5","8,3","8,0","7,8","8,0","8,0","8,1","8,1","7,8"
3,16,la Bordeta,12.073,"9,5","9,5","9,5","9,1","8,8","8,5","8,3","8,6","8,5","8,6","8,6","8,3"
3,17,Sants - Badal,16.032,"8,0","8,0","8,0","7,8","7,4","7,2","7,3","7,4","7,3","7,3","7,2","7,0"
3,18,Sants,27.046,"8,8","8,8","8,8","8,5","8,2","7,9","7,9","8,0","8,0","8,0","8,0","7,7"
4,19,les Corts,28.815,"8,4","8,4","8,3","8,1","7,8","7,5","7,6","7,7","7,6","7,7","7,7","7,5"
4,20,la Maternitat i Sant Ramon,14.851,"8,5","8,6","8,5","8,3","7,9","7,7","7,8","7,9","7,8","7,8","7,7","7,5"
4,21,Pedralbes,6.93,"4,0","4,1","4,2","4,1","3,9","3,9","4,0","3,9","3,8","3,6","3,7","3,6"
5,22,"Vallvidrera, el Tibidabo i les Planes",2.944,"3,9","3,9","3,9","3,9","3,7","3,6","3,8","3,8","3,7","3,7","3,7","3,7"
5,23,Sarrià,14.738,"4,1","4,1","4,2","4,1","4,0","3,9","4,0","4,0","3,9","3,8","3,8","3,7"
5,24,les Tres Torres,10.025,"4,4","4,4","4,5","4,4","4,3","4,1","4,4","4,3","4,3","4,3","4,3","4,2"
5,25,Sant Gervasi - la Bonanova,15.451,"5,0","5,1","4,9","4,7","4,7","4,6","4,8","4,8","4,7","4,6","4,5","4,4"
5,26,Sant Gervasi - Galvany,28.573,"5,0","5,1","5,1","5,0","4,8","4,6","4,7","4,7","4,6","4,6","4,6","4,5"
5,27,el Putxet i el Farró,18.547,"7,2","7,2","7,2","6,9","6,8","6,5","6,6","6,7","6,7","6,5","6,5","6,4"
6,28,Vallcarca i els Penitents,9.694,"8,9","8,8","8,8","8,5","8,3","7,9","8,1","8,2","8,1","8,0","8,0","7,8"
6,29,el Coll,4.825,"7,6","7,4","7,4","7,2","7,1","6,7","6,8","6,9","6,9","6,8","6,8","6,6"
6,30,la Salut,8.32,"8,7","8,6","8,5","8,1","7,9","7,6","7,7","7,9","7,8","7,6","7,5","7,4"
6,31,la Vila de Gràcia,34.427,"8,0","8,1","8,0","7,8","7,4","7,2","7,4","7,6","7,4","7,3","7,3","7,2"
6,32,el Camp d'en Grassot i Gràcia Nova,21.755,"8,3","8,3","8,1","7,8","7,6","7,4","7,6","7,8","7,7","7,6","7,4","7,4"
7,33,el Baix Guinardó,16.205,"8,7","8,6","8,5","8,1","7,9","7,6","7,8","8,0","7,9","7,9","7,6","7,7"
7,34,Can Baró,5.617,"9,2","9,1","9,0","8,6","8,3","8,0","8,2","8,4","8,3","8,1","7,9","7,9"
7,35,el Guinardó,22.86,"9,7","9,7","9,7","9,3","8,9","8,9","9,0","9,1","8,9","9,0","8,9","8,9"
7,36,la Font d'en Fargues,5.765,"11,9","11,9","11,8","11,5","11,0","10,7","10,6","10,8","10,6","10,7","10,7","10,5"
7,37,el Carmel,19.909,"11,8","11,7","11,6","11,3","10,8","10,5","10,5","10,7","10,4","10,6","10,5","10,4"
7,38,la Teixonera,7.365,"9,4","9,3","9,3","9,2","8,9","8,6","8,5","8,7","8,5","8,6","8,4","8,3"
7,39,Sant Genís dels Agudells,3.998,"10,4","10,3","10,3","10,2","9,9","9,6","9,5","9,6","9,4","9,5","9,3","9,2"
7,40,Montbau,2.812,"10,7","10,6","10,6","10,5","10,2","9,8","9,8","9,9","9,7","9,7","9,6","9,4"
7,41,la Vall d'Hebron,3.291,"9,7","9,7","9,7","9,6","9,3","9,0","8,9","9,0","8,8","8,9","8,7","8,6"
7,42,la Clota,364,"6,2","6,1","6,1","6,1","5,9","5,7","5,6","5,7","5,6","5,6","5,5","5,4"
7,43,Horta,16.278,"12,0","12,0","11,9","11,6","11,2","10,7","10,7","10,8","10,7","10,8","10,8","10,7"
8,44,Vilapicina i la Torre Llobeta,15.943,"11,3","11,4","11,4","11,1","10,7","10,3","10,1","10,3","10,3","10,3","10,3","10,2"
8,45,Porta,14.84,"11,8","12,0","12,0","11,7","11,3","10,9","10,7","10,8","10,9","10,9","10,7","10,7"
8,46,el Turó de la Peira,9.411,"12,0","12,0","11,9","11,7","11,3","10,7","10,6","10,8","10,8","10,9","10,9","10,8"
8,47,Can Peguera,1.425,"11,0","11,0","11,0","10,7","10,4","9,9","9,8","9,9","9,9","10,0","10,0","9,9"
8,48,la Guineueta,8.725,"14,6","14,5","14,6","14,1","13,6","13,3","13,1","13,2","13,0","13,4","13,3","13,0"
8,49,Canyelles,4.376,"14,2","14,1","14,2","13,7","13,2","12,9","12,7","12,9","12,7","13,0","12,9","12,7"
8,50,les Roquetes,10.092,"13,3","13,3","13,3","12,9","12,5","12,1","12,0","12,1","11,9","12,3","12,1","11,9"
8,51,Verdun,7.655,"13,5","13,4","13,5","13,0","12,6","12,3","12,1","12,2","12,0","12,4","12,3","12,0"
8,52,la Prosperitat,15.785,"12,5","12,7","12,7","12,4","12,0","11,5","11,3","11,4","11,5","11,5","11,4","11,3"
8,53,la Trinitat Nova,4.728,"18,7","18,9","19,2","18,6","17,9","17,2","16,5","16,4","16,6","17,3","17,4","16,8"
8,54,Torre Baró,1.834,"13,3","13,5","13,7","13,3","12,8","12,3","11,7","11,6","11,8","12,3","12,4","12,0"
8,55,Ciutat Meridiana,6.609,"19,2","19,5","19,9","19,2","18,5","17,8","17,0","16,8","17,1","17,8","17,9","17,3"
8,56,Vallbona,838,"17,6","17,9","18,2","17,6","16,9","16,3","15,6","15,4","15,6","16,3","16,4","15,9"
9,57,la Trinitat Vella,6.769,"17,4","17,6","18,0","17,4","16,7","16,1","15,4","15,2","15,5","16,1","16,2","15,7"
9,58,Baró de Viver,1.625,"10,4","10,4","10,4","10,1","9,7","9,4","9,4","9,6","9,5","9,6","9,4","9,3"
9,59,el Bon Pastor,7.925,"12,1","12,1","12,1","11,8","11,3","10,9","10,9","11,2","11,1","11,1","11,0","10,8"
