Dte.,Codi_Barri,Barris,"Poblacio 16-64 anys",Gener,Febrer,Marc,Abril,Maig,Juny,Juliol,Agost,Setembre,Octubre,Novembre,Desembre
9,60,Sant Andreu,36.43,"10,7","10,7","10,6","10,4","10,0","9,6","9,6","9,8","9,7","9,8","9,6","9,5"
9,61,la Sagrera,18.738,"9,6","9,6","9,4","9,3","9,1","8,7","8,5","8,7","8,7","8,7","8,6","8,5"
9,62,el Congrés i els Indians,8.74,"10,0","10,0","9,8","9,7","9,5","9,1","8,8","9,1","9,1","9,1","9,0","8,9"
9,63,Navas,13.914,"9,6","9,6","9,5","9,4","9,1","8,8","8,6","8,8","8,8","8,8","8,7","8,6"
10,64,el Camp de l'Arpa del Clot,24.914,"10,1","10,0","9,9","9,7","9,4","9,2","9,3","9,4","9,2","9,2","9,1","8,9"
10,65,el Clot,18.149,"9,6","9,5","9,4","9,2","8,9","8,6","8,6","8,7","8,6","8,6","8,5","8,5"
10,66,el Parc i la Llacuna del Poblenou,10.094,"8,4","8,4","8,2","7,9","7,7","7,4","7,3","7,5","7,5","7,5","7,4","7,4"
10,67,la Vila Olímpica del Poblenou,6.516,"8,5","8,4","8,4","8,0","7,7","7,4","7,2","7,5","7,5","7,6","7,6","7,6"
10,68,el Poblenou,22.209,"8,6","8,5","8,5","8,1","7,8","7,5","7,3","7,6","7,6","7,7","7,6","7,7"
10,69,Diagonal Mar i el Front Marítim del Poblenou,8.652,"10,9","10,8","10,7","10,3","9,9","9,4","9,0","9,2","9,3","9,6","9,4","9,3"
10,70,el Besòs i el Maresme,15.14,"14,2","14,1","14,0","13,4","13,0","12,3","11,8","12,1","12,2","12,5","12,3","12,1"
10,71,Provençals del Poblenou,13.615,"10,2","10,1","10,0","9,7","9,4","9,1","8,9","9,1","9,1","9,1","9,0","9,0"
10,72,Sant Martí de Provençals,15.814,"12,1","11,9","11,9","11,5","11,3","10,9","10,8","10,9","10,8","10,9","10,8","10,8"
10,73,la Verneda i la Pau,17.428,"12,4","12,2","12,2","11,8","11,6","11,2","11,1","11,2","11,1","11,2","11,1","11,1"
